company,sector,priority,source
3M,,A,pasted
ABB,Controls & Automation,A,database+pasted
ABB Robotics,Robotics,A,database
Abbott,MedTech,A,database
Abiomed,MedTech,A,database
Accio Robotics,Robotics,A,database
Acclarent,MedTech,A,database
Accuray,MedTech,A,database+pasted
Achronix,PCB & Embedded,A,database+pasted
Acumed,MedTech,A,database
Adaptec Solutions,,A,pasted
AdaptHealth,MedTech,A,database
Adept Technology,Robotics,A,database
Advamed,MedTech,A,database
Advanced Circuits,PCB & Embedded,A,database+pasted
Advanced Energy,,A,pasted
Advanced Farm Technologies,Robotics,A,database
Advanced Neuromodulation Systems,MedTech,A,database
Advanced Oxygen Therapy,MedTech,A,database
AeroSpec,Robotics,A,database+pasted
Aerotech,,A,pasted
Aeva Robotics,Robotics,A,database
Agiliti,MedTech,A,database+pasted
Agility Robotics,Robotics,A,database
AI Incorporated,Robotics,A,database
Aisler,PCB & Embedded,A,database+pasted
Alcon,MedTech,A,database
Align Production Systems,,A,pasted
AliveCor,MedTech,A,database
All Flex Solutions,PCB & Embedded,A,database+pasted
Altium,PCB & Embedded,A,database+pasted
Altron Automation,,A,pasted
AMC (Advanced Motion Controls),,A,pasted
American Engineering Testing,,A,pasted
Analog Devices,PCB & Embedded,A,database+pasted
AngioDynamics,MedTech,A,database
Anika Therapeutics,MedTech,A,database
Anteris Technologies,MedTech,A,database+pasted
ANYbotics,Robotics,A,database
APCT,PCB & Embedded,A,database+pasted
Apex Automation,Controls & Automation,A,database+pasted
Apex.AI,Robotics,A,database
Apple Hardware Engineering,PCB & Embedded,A,database
Applied Engineering,,A,pasted
Applied Motion Products,,A,pasted
Apptronik,Robotics,A,database
Aptiv Autonomous Mobility,Robotics,A,database
ArcBest Robotics,Robotics,A,database
Archer Aviation Autonomy,Robotics,A,database
Arista Networks,PCB & Embedded,A,database+pasted
Arthrex,MedTech,A,database+pasted
Asensus Surgical,Robotics,A,database+pasted
Asteelflash,PCB & Embedded,A,database
Astrodyne TDI,PCB & Embedded,A,database+pasted
ATI Industrial Automation,Robotics,A,database+pasted
Atkore,,A,pasted
Atracsys,,A,pasted
AtriCure,MedTech,A,database
Atriomix,MedTech,A,database
ATS Corporation,Controls & Automation,A,database+pasted
ATS Life Sciences,Controls & Automation,A,database+pasted
Aubo Robotics,Robotics,A,database
Aurora Innovation,Robotics,A,database
Aurora Scientific,,A,pasted
Automation Group,Controls & Automation,A,database
Automation Solutions of America,Controls & Automation,A,database+pasted
Automation.com,,A,pasted
AutomationDirect,Controls & Automation,A,database
AutoStore,Robotics,A,database
Avanceon,Controls & Automation,A,database
AVEVA,Controls & Automation,A,database
Avid Solutions,Controls & Automation,A,database
Avidbots,Robotics,A,database+pasted
Avidity Science,,A,pasted
Avita Medical,MedTech,A,database
Axonics,MedTech,A,database
B&R Industrial Automation,Controls & Automation,A,database
B. Braun,MedTech,A,database
BAE Systems,,A,pasted
Balluff,Controls & Automation,A,database+pasted
Banner Engineering,Controls & Automation,A,database+pasted
Barr Engineering,,A,pasted
Bastian Solutions,Robotics,A,database
Baxter,MedTech,A,database
Beacon EmbeddedWorks,,A,pasted
Beckhoff Automation,Controls & Automation,A,database+pasted
Bedrock Robotics,Robotics,A,database
BeeWise,Robotics,A,database
Bel Fuse,PCB & Embedded,A,database+pasted
Benchmark Electronics,PCB & Embedded,A,database+pasted
Berkshire Grey AI,Robotics,A,database
Bionik Laboratories,MedTech,A,database+pasted
BioSig Technologies,MedTech,A,database
Biotronik,MedTech,A,database
Bisco Industries,PCB & Embedded,A,database
Bittele Electronics,PCB & Embedded,A,database+pasted
Black & Veatch,Controls & Automation,A,database+pasted
Blue Ocean Robotics,Robotics,A,database
